Acetobacter aurantius
Acinetobacter baumannii
Actinomyces israelii
Agrobacterium radiobacter
Agrobacterium tumefaciens
Anaplasma
Anaplasma phagocytophilum
Azorhizobium caulinodans
Azotobacter vinelandii
viridans streptococci
Bacillus
Bacillus anthracis
Bacillus brevis
Bacillus cereus
Bacillus fusiformis
Bacillus licheniformis
Bacillus megaterium
Bacillus mycoides
Bacillus stearothermophilus
Bacillus subtilis
Bacillus Thuringiensis
Bacteroides
Bacteroides fragilis
Bacteroides gingivalis
Bacteroides melaninogenicus (now known as Prevotella melaninogenica)
Bartonella
Bartonella henselae
Bartonella quintana
Bordetella
Bordetella bronchiseptica
Bordetella pertussis
Borrelia burgdorferi
Brucella
Brucella abortus
Brucella melitensis
Brucella suis
Burkholderia
Burkholderia mallei
Burkholderia pseudomallei
Burkholderia cepacia
Calymmatobacterium granulomatis
Campylobacter
Campylobacter coli
Campylobacter fetus
Campylobacter jejuni
Campylobacter pylori
Chlamydia
Chlamydia trachomatis
Chlamydophila
Chlamydophila pneumoniae (previously called Chlamydia pneumoniae)
Chlamydophila psittaci (previously called Chlamydia psittaci)
Clostridium
Clostridium botulinum
Clostridium difficile
Clostridium perfringens (previously called Clostridium welchii)
Clostridium tetani
Corynebacterium
Corynebacterium diphtheriae
Corynebacterium fusiforme
Coxiella burnetii
Ehrlichia chaffeensis
Enterobacter cloacae
Enterococcus
Enterococcus avium
Enterococcus durans
Enterococcus faecalis
Enterococcus faecium
Enterococcus galllinarum
Enterococcus maloratus
Escherichia coli
Francisella tularensis
Fusobacterium nucleatum
Gardnerella vaginalis
Haemophilus
Haemophilus ducreyi
Haemophilus influenzae
Haemophilus parainfluenzae
Haemophilus pertussis
Haemophilus vaginalis
Helicobacter pylori
Klebsiella pneumoniae
Lactobacillus
Lactobacillus acidophilus
Lactobacillus bulgaricus
Lactobacillus casei
Lactococcus lactis
Legionella pneumophila
Listeria monocytogenes
Methanobacterium extroquens
Microbacterium multiforme
Micrococcus luteus
Moraxella catarrhalis
Mycobacterium
Mycobacterium avium
Mycobacterium bovis
Mycobacterium diphtheriae
Mycobacterium intracellulare
Mycobacterium leprae
Mycobacterium lepraemurium
Mycobacterium phlei
Mycobacterium smegmatis
Mycobacterium tuberculosis
Mycoplasma
Mycoplasma fermentans
Mycoplasma genitalium
Mycoplasma hominis
Mycoplasma penetrans
Mycoplasma pneumoniae
Mycoplasma mexican
Neisseria
Neisseria gonorrhoeae
Neisseria meningitidis
Pasteurella
Pasteurella multocida
Pasteurella tularensis
Peptostreptococcus
Porphyromonas gingivalis
Prevotella melaninogenica (previously called Bacteroides melaninogenicus)
Pseudomonas aeruginosa
Rhizobium radiobacter
Rickettsia
Rickettsia prowazekii
Rickettsia psittaci
Rickettsia quintana
Rickettsia rickettsii
Rickettsia trachomae
Rochalimaea
Rochalimaea henselae
Rochalimaea quintana
Rothia dentocariosa
Salmonella
Salmonella enteritidis
Salmonella typhi
Salmonella typhimurium
Serratia marcescens
Shigella dysenteriae
Spirillum volutans
Staphylococcus
Staphylococcus aureus
Staphylococcus epidermidis
Stenotrophomonas maltophilia
Streptococcus
Streptococcus agalactiae
Streptococcus avium
Streptococcus bovis
Streptococcus cricetus
Streptococcus faceium
Streptococcus faecalis
Streptococcus ferus
Streptococcus gallinarum
Streptococcus lactis
Streptococcus mitior
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus rattus
Streptococcus salivarius
Streptococcus sanguis
Streptococcus sobrinus
Treponema
Treponema pallidum
Treponema denticola
Thiobacillus
Vibrio
Vibrio cholerae
Vibrio comma
Vibrio parahaemolyticus
Vibrio vulnificus
Wolbachia
Yersinia
Yersinia enterocolitica
Yersinia pestis
Yersinia pseudotuberculosis
